city,comments,name,prices,quality_price,rating,services,stars,id,rank
Bacalar,423,Villa Marilu B&B,2660 # 2800 # 3325 # 3500,8.9,9.5,Masaje corporal completoDe pago # Masaje de manosDe pago # Masaje de cabezaDe pago # Masaje en parejaDe pago # Masaje de piesDe pago # Masaje de cuelloDe pago # Masaje de espaldaDe pago # Tumbonas/sillas de playa # Toallas de playa/piscina # MasajesDe pago # Papel higiénico # Toallas # Toallas / sábanas (por un suplemento) # Aseo adicional # Bañera o ducha # Baño privado # WC # Artículos de aseo gratis # Secador de pelo # Bañera # Ducha # Ropa de cama # Armario # Zona de pícnic # Mobiliario exterior # Situado frente a la playa # Muebles de exterior # Terraza / solárium # Zona privada de playa # Patio # Balcón # Terraza # Jardín # Enchufe cerca de la cama # Tendedero # Perchero # Mosquitera # Entrada privada # Ventilador # Equipo de planchado # Plancha para ropa # Vistas a un patio interior # Vistas a un lugar de interés # Vistas al jardín # Playa # Escritorio # TV de pantalla plana # Canales por cable # TV # Servicio de entrega de comestiblesDe pago # Almuerzos para llevar # Servicio de traslado al aeropuertoDe pago # Servicio de recogida en el aeropuertoDe pago # Traslado aeropuerto (de pago) # Servicio de traslado (de pago) # Registro de entrada / salida privado # Servicio de conserjería # Guardaequipaje # Información turística # Registro de entrada y salida exprés # Juegos de mesa / puzles # Servicio de limpieza diario # Plancha para pantalones # Servicio de lavanderíaDe pago # Extintores # Cámaras de seguridad fuera del alojamiento # Cámaras de seguridad en las zonas comunitarias # Seguridad 24 horas # Toda la unidad accesible en silla de ruedas # Acceso a pisos superiores solo mediante escaleras # Toda la unidad en la planta baja # Solo para adultos # Zona de fumadores # Aire acondicionado # Calefacción # Habitaciones sin humo # Inglés # Español,4,1,1
Bacalar,193,Hostal y Camping Las G,212 # 249 # 177 # 203 # 179 # 210,7.9,7.0,Papel higiénico # Bidet # Bañera o ducha # WC # Artículos de aseo gratis # Baño compartido # Bañera # Ducha # Ropa de cama # Zona de pícnic # Mobiliario exterior # Zona de comedor exterior # Muebles de exterior # Terraza / solárium # Jardín # Cocina compartida # Mesa de comedor # Tostadora # Fogones # Horno # Utensilios de cocina # Cocina # Nevera # Tendedero # Zona de comedor # Zona de estar # Tetera / cafetera # Cambio de moneda # Barandillas protectoras para bebés # Cámaras de seguridad en las zonas comunitarias # Zona de fumadores # Ventilador # Habitaciones familiares # Habitaciones sin humo # Toda la unidad en la planta baja # Español,0,2,2
Bacalar,199,Casa CheJum Bacalar,864 # 960 # 910 # 990 # 964 # 1090 # 1071 # 1190 # 890 # 1215 # 1350,9.2,9.0,Papel higiénico # Toallas # Baño privado # Artículos de aseo gratis # Ducha # Ropa de cama # Vistas al jardín # Zona de pícnic # Mobiliario exterior # Zona de comedor exterior # Muebles de exterior # Terraza # Jardín # Enchufe cerca de la cama # Tours en biciDe pago # Ruta de baresDe pago # Galerías de arte temporalesFuera del alojamientoDe pago # TV de pantalla plana # Parking adaptado para personas de movilidad reducida # Parking en un garaje # Parking vigilado # Servicio de traslado al aeropuertoDe pago # Registro de entrada / salida privado # Guardaequipaje # Información turística # Cambio de moneda # Recepción 24 horas # Servicio de limpieza diario # Traslado aeropuerto (de pago) # Servicio de traslado (de pago) # Zona de fumadores # Aire acondicionado # Ventilador # Habitaciones familiares # Adaptado personas de movilidad reducida # Habitaciones sin humo # Adaptado para sillas de ruedas # Español,0,3,3
Bacalar,46,The Bacalar Collection: Lagoon House,2782,9.6,9.8,Papel higiénico # Toallas # Baño privado # Balcón # Terraza # Jardín # Habitaciones sin humo # Vistas # Proporciona factura # Inglés # Español,3,4,4
Bacalar,3,Almendrita II,630,10,9.7,Productos de limpieza # Secadora de ropa # Armario # Papel higiénico # Toallas # Toallas / sábanas (por un suplemento) # Bañera o ducha # WC # Artículos de aseo gratis # Secador de pelo # Ducha # TV de pantalla plana # TV # Enchufe cerca de la cama # Zona de pícnic # Mobiliario exterior # Terraza / solárium # Patio # Terraza # Jardín # Solo para adultos # Zona de fumadores # Aire acondicionado # Mosquitera # Entrada privada # Ventilador # Habitaciones sin humo # Cafetería en el alojamiento # Registro de entrada / salida privado # Registro de entrada y salida exprés # Vistas al jardín # Extintores # Alarma de seguridad # Seguridad 24 horas # Español,0,5,5
Bacalar,27,Jungla Bacalar/ Casa Jaguar,824 # 877,9.3,8.9,Parking en la calle # Productos de limpieza # Armario # Papel higiénico # Bañera o ducha # Baño privado # Secador de pelo # Escritorio # Plancha para ropa # Zona de pícnic # Mobiliario exterior # Terraza / solárium # Terraza # Jardín # Vistas al jardín # Información turística # Servicio de lavanderíaDe pago # Aire acondicionado # Prohibido fumar en todo el alojamiento # Habitaciones familiares # Inglés # Español,0,6,6
Bacalar,292,La Albarina,5244 # 5827 # 5594 # 6216,7.8,8.8,Gimnasio # Masaje corporal completoDe pago # Masaje de manosDe pago # Masaje de cabezaDe pago # Masaje en parejaDe pago # Masaje de piesDe pago # Masaje de cuelloDe pago # Masaje de espaldaDe pago # Sombrillas # Tumbonas/sillas de playa # Baño público # MasajesDe pago # Gimnasio # Papel higiénico # Toallas # Toallas / sábanas (por un suplemento) # Bañera o ducha # Zapatillas # Baño privado # WC # Artículos de aseo gratis # Secador de pelo # Ducha # Ropa de cama # Armario # Camas extralargas (más de 2 metros) # Vistas a un lugar de interés # Vistas al lago # Mobiliario exterior # Situado frente a la playa # Zona de comedor exterior # Muebles de exterior # Terraza / solárium # Zona privada de playa # Balcón # Terraza # Jardín # Productos de limpieza # Enchufe cerca de la cama # Tendedero # Eventos deportivos en directo (emisión)De pago # Playa # Instalaciones para deportes acuáticos en el alojamiento # Sofá # Zona de estar # Escritorio # Cafetería en el alojamiento # Fruta # Vino / champánDe pago # Menús para dietas especiales (bajo petición) # Snack-bar # Bar # Restaurante # Minibar # Tetera / cafetera # Parking vigilado # Proporciona factura # Registro de entrada / salida privado # Servicio de conserjería # Guardaequipaje # Información turística # Registro de entrada y salida exprés # Recepción 24 horas # Equipamiento de juegos para exterior # Juegos de mesa / puzles # Juegos de mesa / puzles # Servicio de limpieza diario # Extintores # Cámaras de seguridad fuera del alojamiento # Cámaras de seguridad en las zonas comunitarias # Detectores de humo # Seguridad 24 horas # Caja fuerte # Detector de monóxido de carbono # Solo para adultos # Servicio de traslado (de pago) # Aire acondicionado # Prohibido fumar en todo el alojamiento # Mosquitera # Servicio de despertador # Suelo de baldosa / mármol # Entrada privada # Caja fuerte para ordenador portátil # Almuerzos para llevar # Ventilador # Habitaciones sin humo # Plancha para ropa # Servicio de despertador / alarma # Acceso a pisos superiores solo mediante escaleras # Toda la unidad en la planta baja # Inglés # Español,5,7,7
Bacalar,144,Hotel Seyba Bakalar,960 # 1080 # 1680 # 1800 # 1920 # 1680 # 1800 # 1920,7.3,7.4,Abierta todo el año # Para todas las edades # Zona poco profunda # Papel higiénico # Toallas # Baño privado # WC # Artículos de aseo gratis # Ducha # Vistas a la piscina # Vistas al jardín # Jardín # TV de pantalla plana # Parking vigilado # Recepción 24 horas # Aire acondicionado # Habitaciones sin humo # Inglés # Español,5,8,8
Bacalar,4,"4, San Fernando, Bacalar Villa Jimmy",1195 # 1076,8.1,7.8,Mesa de comedor # Utensilios de cocina # Hervidor eléctrico # Nevera # Ropa de cama # Papel higiénico # Toallas # Baño privado # WC # Artículos de aseo gratis # Ducha # Zona de comedor # Balcón # Terraza # Jardín # Aire acondicionado # Prohibido fumar en todo el alojamiento # Tetera / cafetera # Vistas al lago # Español,4,9,9
Bacalar,313,Stone Aparments,1247 # 1260 # 1449 # 1512 # 1134,8.4,8.4,Abierta todo el año # Toallas de playa/piscina # Toallas de playa/piscina # Baño público # Baño privado # WC # Artículos de aseo gratis # Secador de pelo # Ducha # Vistas # Mobiliario exterior # Balcón # Terraza # Jardín # Perchero # Tours en biciDe pago # Tours a pieDe pago # TV de pantalla plana # Teléfono # Parking adaptado para personas de movilidad reducida # Parking en un garaje # Servicio de limpieza diario # Traslado aeropuerto (de pago) # Plancha para pantalones # Guardaequipaje # Información turística # Cambio de moneda # Recepción 24 horas # Extintores # Cámaras de seguridad fuera del alojamiento # Cámaras de seguridad en las zonas comunitarias # Seguridad 24 horas # Caja fuerte # Aire acondicionado # Prohibido fumar en todo el alojamiento # Habitaciones familiares # Habitaciones sin humo # Inglés # Español,4,10,10
